AliasClassTest	 rc=0	 passed=4	 failed=0
JITPyjitApiTest	 rc=0	 passed=10	 failed=0
JITContextExtendedTest	 rc=0	 passed=15	 failed=0
JITGenDataFooterTest	 rc=0	 passed=3	 failed=0
JITCodeRuntimeExtendedTest	 rc=0	 passed=7	 failed=0
JITCodeRuntimeTest	 rc=0	 passed=13	 failed=0
JITGeneratorTest	 rc=1	 passed=9	 failed=1
JITJitRtCoverageTest	 rc=1	 passed=10	 failed=2
JITPyjitApiCoverageTest	 rc=0	 passed=4	 failed=0
JITContextP0CoverageTest	 rc=0	 passed=2	 failed=0
JITStaticJitRtCoverageTest	 rc=1	 passed=0	 failed=2
JITFlagProcessorTest	 rc=0	 passed=10	 failed=0
JITListTest	 rc=0	 passed=3	 failed=0
WildcardJITListTest	 rc=0	 passed=2	 failed=0
JITListExtendedTest	 rc=0	 passed=11	 failed=0
JITTimeLogTest	 rc=0	 passed=5	 failed=0
LIRABITest	 rc=0	 passed=112	 failed=0
LIRDeadCodeEliminationTest	 rc=0	 passed=4	 failed=0
LIRInlinerTest	 rc=0	 passed=5	 failed=0
LIRPostAllocRewriteTest	 rc=0	 passed=24	 failed=0
LIRPostGenerationRewriteTest	 rc=0	 passed=9	 failed=0
LIRVerifyTest	 rc=0	 passed=7	 failed=0
OSRCompileTest	 rc=1	 passed=9	 failed=17
RefTest	 rc=0	 passed=7	 failed=0
BorrowedRefTest	 rc=0	 passed=6	 failed=0
LinearScanAllocatorTest	 rc=0	 passed=9	 failed=0
SlabArenaTest	 rc=0	 passed=4	 failed=0
TreeIterStateMachineRuntimeTest	 rc=0	 passed=2	 failed=0
TypeProfilerTest	 rc=0	 passed=1	 failed=0
UtilTestNoFixture	 rc=0	 passed=1	 failed=0
UtilTest	 rc=1	 passed=7	 failed=2
CleanCFGTest	 rc=1	 passed=0	 failed=12
DynamicComparisonEliminationTest	 rc=1	 passed=0	 failed=3
HIRBuilderStaticTest	 rc=1	 passed=0	 failed=12
GuardTypeRemovalTest	 rc=1	 passed=0	 failed=10
InlinerTest	 rc=1	 passed=0	 failed=17
InlinerEliminationTest	 rc=1	 passed=0	 failed=3
InlinerStaticTest	 rc=1	 passed=0	 failed=4
InlinerEliminationStaticTest	 rc=1	 passed=0	 failed=4
PhiEliminationTest	 rc=1	 passed=0	 failed=4
RefcountInsertionTest	 rc=1	 passed=0	 failed=18
RefcountInsertionStaticTest	 rc=1	 passed=0	 failed=2
SuperAccessStaticTest	 rc=1	 passed=0	 failed=3
SuperAccessTest	 rc=1	 passed=0	 failed=3
SimplifyTest	 rc=1	 passed=0	 failed=128
FloatAccumulatorPromotionTest	 rc=1	 passed=0	 failed=6
FloatComparisonSimplificationTest	 rc=1	 passed=0	 failed=9
SimplifyUsesGuardTypes	 rc=1	 passed=0	 failed=4
SimplifyStaticTest	 rc=1	 passed=0	 failed=11
DeadCodeEliminationTest	 rc=1	 passed=0	 failed=4
DeadCodeEliminationAndSimplifyTest	 rc=1	 passed=0	 failed=2
BuiltinLoadMethodEliminationTest	 rc=139	 passed=0	 failed=0
PrimitiveBoxRematTest	 rc=1	 passed=0	 failed=2
PrimitiveUnboxCSETest	 rc=1	 passed=0	 failed=2
LeafFunctionTest	 rc=1	 passed=0	 failed=1
AllPassesTest	 rc=1	 passed=0	 failed=14
AllPassesStaticTest	 rc=1	 passed=0	 failed=1
NativeCallsTest	 rc=1	 passed=0	 failed=1
StaticArrayItemTest	 rc=1	 passed=0	 failed=2
